name,classid_1,classid_2,classid_3,evalscore_1,evalscore_2,evalscore_3
Aidan Klebe,4,14,24,3.4461961459645742,2.2086664736121158,3.081189465594168
Frank Robles Acosta,10,20,30,1.9336109793884044,3.3141997092495226,2.276074941713698
Frederick Biles,8,18,28,1.7329158453825384,2.5293042545857576,3.0134360182361073
Harry Mccoy,5,15,25,2.1017034609933556,3.2692594033468705,2.5104374846018063
Kaitlin Macdonald,1,11,21,2.4902589894013225,3.432517580305605,2.5427773924031603
Kaitlyn Meredith,6,16,26,3.309871976306011,3.8649378049610252,3.7947741640684254
Lauren Seale,7,17,27,4.308831458641621,2.90902377205679,2.749557043639687
Marcus Chapa,3,13,23,2.9826603602746604,3.23906958980352,2.8225591648415995
Morgynne Kwan,9,19,29,2.73310418062718,2.9820174511531117,3.3713307264512364
Sydney Vialpando,2,12,22,2.696748144619497,3.3816106795716023,2.327407322686914
