Your name,Your email address,Do you have more than 5 student projects?,What are your top 5 projects?,Should any of the projects be disqualified?
Abigayle Vossler,2a11fnxbr@mozmail.com,no,NA,NA
Ahlaam el-Sattar,k615bj5di@mozmail.com,no,NA,NA
Allison Apodaca-Anaya,bs3gioheg@mozmail.com,no,NA,NA
Amy Yu,k9hh0lfp4@mozmail.com,no,NA,NA
Anna Smith,3uesfezzs@mozmail.com,no,NA,NA
Aschtun Moua,e05009ug3@mozmail.com,no,NA,NA
Brittany Punjabi,ldr0ox58g@mozmail.com,no,NA,NA
Caleel Wilson,txggs7ki2@mozmail.com,no,NA,NA
Ce'Vonn Newton III,zykozvco5@mozmail.com,no,NA,NA
Cecilia Quezada,8m58as3fb@mozmail.com,no,NA,NA
Dallas Howe,rvql6rq8l@mozmail.com,no,NA,NA
Daniel Robles,bbfry1j6n@mozmail.com,no,NA,NA
Davaughn Mullett,iyklz7t8h@mozmail.com,no,NA,NA
Demetrius Abbott,qrnpkjthl@mozmail.com,yes,"76, 37, 75, 15, 4",NA
Desean Wilson,54x1s7ts5@mozmail.com,no,NA,NA
Devon Pooser,d8jgfindf@mozmail.com,no,NA,NA
Douglas Prakhine,3i8xoneah@mozmail.com,yes,"78, 51, 82, 58, 57",NA
Edward Pasillas,g9n81ira0@mozmail.com,no,NA,NA
Gabriella Reichert,pveuvqr92@mozmail.com,no,NA,NA
Hadeel el-Tabet,3j5seqv3g@mozmail.com,no,NA,NA
Hanaaa al-Haq,zwx7gkzcs@mozmail.com,no,NA,NA
Jamile Taylor,udw29h842@mozmail.com,no,NA,NA
Jaren Dozier,q1s3czkwf@mozmail.com,no,NA,NA
Jeffrey Nolan,oobgiy8yj@mozmail.com,no,NA,NA
Jeremy Saenz,hoxkkfvom@mozmail.com,no,NA,NA
Jernayiah Gamble,nhq5alwvg@mozmail.com,no,NA,NA
Jessica Walker,zgfvpx37q@mozmail.com,no,NA,NA
Joshua Serrano,iv3n8mq70@mozmail.com,no,NA,NA
Julia Cheung,e76s2msge@mozmail.com,no,NA,NA
Justin Herrera,2zxxkn6fp@mozmail.com,no,NA,NA
Kaleb King,6cpslf0te@mozmail.com,no,NA,NA
Kathryn Geiger,hnx4ca93a@mozmail.com,no,NA,NA
Katrina Weber,nr5wh201i@mozmail.com,no,NA,NA
Kellie Yang,y8tbn8q5w@mozmail.com,no,NA,NA
Kiara Selby,6yyposspj@mozmail.com,no,NA,NA
Koren Loyd,6qq0tnjtz@mozmail.com,no,NA,NA
Lisa Ho,zgjg9x44v@mozmail.com,no,NA,NA
Lucile Garcia,80xaiqzdy@mozmail.com,no,NA,NA
Luke Stacy,fuhujlwbc@mozmail.com,no,NA,NA
Michael Shoeboot,5q8m8wxr4@mozmail.com,no,NA,NA
Mus'ab el-Kader,v1791stes@mozmail.com,no,NA,NA
Nathan Salas,ugpb08rp0@mozmail.com,no,NA,NA
Nicole Annan,i9dsv36ec@mozmail.com,yes,"84, 100, 99, 54, 64",NA
Noah Cotter,e78q6j59c@mozmail.com,no,NA,NA
Rashaan Culpepper,7kx9sj1dt@mozmail.com,no,NA,NA
Saleet al-Abdou,lkzaqu5n4@mozmail.com,no,NA,NA
Sebastian Vigil,zwn5rws74@mozmail.com,no,NA,NA
Shaddaad el-Shah,px4oe0gvx@mozmail.com,no,NA,NA
Shiann Kimble,023h0cvau@mozmail.com,no,NA,NA
Shihaab el-Hariri,ffoh9f6g2@mozmail.com,no,NA,NA
Stephen Vanacore,vt0ro7fnu@mozmail.com,no,NA,NA
Tanisha Gomez,5ndza30vg@mozmail.com,no,NA,NA
Tavier Hall,nr9urnd0o@mozmail.com,no,NA,NA
Tayyib al-Kazmi,uvj0jjrqn@mozmail.com,no,NA,NA
Thomas Pablo Truong,lj42qmtbh@mozmail.com,no,NA,NA
Tyler Kitta,n9ia5kwba@mozmail.com,no,NA,NA
Zain al-Ghattas,smgl8yw8l@mozmail.com,no,NA,23
Zufar el-Agha,5lxifswb6@mozmail.com,no,NA,NA
